ticker,price,market_cap,net_debt,enterprise_value,pe,ev_ebitda,ps
NVDA,183.045,4456596897792,-46192999424,4410403898368,52.00142045454545,44.87544936556821,26.974039219713287
AMD,214.76,348521889792,-1980999680,346540890112,127.83333333333333,62.89308204386307,11.774388873298648
AVGO,324.63,1533021388800,29351998464,1562373387264,83.23846153846154,47.71188447268785,25.58190713405387
TSM,280.66,1455649587200,-1619688488960,-164038901760,30.774122807017548,-0.06978072042805232,0.42798131873091233
ASML,936.19,383584206848,-3550000128,380034206720,33.44730260807432,31.42934406905786,11.297969378586632
INTC,36.33,172829736960,29551001600,202380738560,,21.995514477340453,3.2566370987569333
