ticker,price,market_cap,net_debt,enterprise_value,pe,ev_ebitda,ps
AMD,216.42,351215812608,-1980999680,349234812928,128.82142857142856,63.38199724412057,11.865399701803376
AVGO,356.7,1684467613696,29351998464,1713819612160,91.46153846153847,52.336761499501726,28.109128160419605
TSM,302.89,1570946023424,-1619688488960,-48742465536,33.21162280701755,-0.020734620410455443,0.4618800742193616
ASML,984.66,403443777536,-3550000128,399893777408,35.17899249732047,33.07175748653426,11.882906811992346
INTC,37.22,177063657472,29551001600,206614659072,,22.455673188985806,3.3364170882392807
